t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
4.772000000000000597e+01,4.000000000000000000e+00,7.629392635542818768e-01,2.782953794169196637e+00,-5.500323681632758310e-01,1.230271317306802087e-01,-1.798227593983887929e-01,-1.787305667840406341e-03,1.048815651987361208e-01,-6.430810542491052773e-02,-7.114475243674419497e-03,-8.183886087242350088e-03,-7.066527711961101410e-01
4.774000000000000199e+01,4.000000000000000000e+00,7.650354705761273078e-01,2.781665996245730632e+00,-5.517715074102222950e-01,1.229913190233590942e-01,-1.799527469311360262e-01,-1.793918023731497918e-03,1.047390678897131694e-01,-6.447163882436794669e-02,-7.135204026781325447e-03,-8.169456905606324593e-03,-7.071747782486570433e-01
4.776000000000000512e+01,4.000000000000000000e+00,7.671288235267349487e-01,2.780374930538881628e+00,-5.535114183415458244e-01,1.229553768980454903e-01,-1.800817221838427740e-01,-1.800247132995580956e-03,1.045961591122216011e-01,-6.463488382530938048e-02,-7.155621626379146498e-03,-8.155046350158526303e-03,-7.076927445638621084e-01
4.778000000000000114e+01,4.000000000000000000e+00,7.692193142391574590e-01,2.779080602812848522e+00,-5.552520882080450582e-01,1.229193110396623045e-01,-1.802096293840152741e-01,-1.806290999359338664e-03,1.044528451177810513e-01,-6.479784080712945593e-02,-7.175725257519168301e-03,-8.140655107985754133e-03,-7.082064455893803956e-01
4.780000000000000426e+01,4.000000000000000000e+00,7.713069346720355934e-01,2.777783018824106165e+00,-5.569935037914708342e-01,1.228831271728915431e-01,-1.803364121649264906e-01,-1.812047643218238011e-03,1.043091322136102117e-01,-6.496051016296455760e-02,-7.195512135252685182e-03,-8.126283866174813936e-03,-7.087156543483191795e-01
4.782000000000000028e+01,4.000000000000000000e+00,7.733916769107107569e-01,2.776482184321127367e+00,-5.587356514000775265e-01,1.228468310618394121e-01,-1.804620135654119162e-01,-1.817515101768386702e-03,1.041650267626266640e-01,-6.512289229969277227e-02,-7.214979474630981923e-03,-8.111933311812499423e-03,-7.092201414387049319e-01
4.784000000000000341e+01,4.000000000000000000e+00,7.754735331683403343e-01,2.775178105044110666e+00,-5.604785168641817084e-01,1.228104285096991433e-01,-1.805863760298020149e-01,-1.822691429137139217e-03,1.040205351834469910e-01,-6.528498763793395832e-02,-7.234124490705351115e-03,-8.097604131985611242e-03,-7.097196750335630355e-01
4.785999999999999943e+01,4.000000000000000000e+00,7.775524957870103560e-01,2.773870786724706772e+00,-5.622220855317250354e-01,1.227739253584110291e-01,-1.807094414079959410e-01,-1.827574696512354081e-03,1.038756639503867901e-01,-6.544679661204967636e-02,-7.252944398527081012e-03,-8.083297013780956983e-03,-7.102140208816312139e-01
4.788000000000000256e+01,4.000000000000000000e+00,7.796285572388508278e-01,2.772560235085738789e+00,-5.639663422638478973e-01,1.227373274883199333e-01,-1.808311509556790597e-01,-1.832162992270250368e-03,1.037304195934605766e-01,-6.560831967014325861e-02,-7.271436413147460733e-03,-8.069012644285333824e-03,-7.107029423087203313e-01
4.790000000000000568e+01,4.000000000000000000e+00,7.817017101271488411e-01,2.771246455840932210e+00,-5.657112714304687318e-01,1.227006408178302616e-01,-1.809514453346896257e-01,-1.836454422101781213e-03,1.035848086983818805e-01,-6.576955727405972563e-02,-7.289597749617781133e-03,-8.054751710585538946e-03,-7.111862002197437693e-01
4.792000000000000171e+01,4.000000000000000000e+00,7.837719471874621258e-01,2.769929454694637361e+00,-5.674568569058752177e-01,1.226638713030584193e-01,-1.810702646135371185e-01,-1.840447109137441535e-03,1.034388379065632191e-01,-6.593050989938588347e-02,-7.307425622989328733e-03,-8.040514899768379936e-03,-7.116635531014299243e-01
4.794000000000000483e+01,4.000000000000000000e+00,7.858392612887347140e-01,2.768609237341554952e+00,-5.692030820643256828e-01,1.226270249374827315e-01,-1.811875482680755933e-01,-1.844139194070475683e-03,1.032925139151159716e-01,-6.609117803545026815e-02,-7.324917248313398722e-03,-8.026302898920648771e-03,-7.121347570257325899e-01
4.796000000000000085e+01,4.000000000000000000e+00,7.879036454344089391e-01,2.767285809466463409e+00,-5.709499297756607250e-01,1.225901077515910570e-01,-1.813032351823375687e-01,-1.847528835278351017e-03,1.031458434768506432e-01,-6.625156218532309016e-02,-7.342069840641273284e-03,-8.012116395129154772e-03,-7.125995656539630962e-01
4.798000000000000398e+01,4.000000000000000000e+00,7.899650927635409881e-01,2.765959176743940429e+00,-5.726973824009312652e-01,1.225531258125258649e-01,-1.814172636495293978e-01,-1.850614208942481147e-03,1.029988334002766154e-01,-6.641166286581638711e-02,-7.358880615024246744e-03,-7.997956075480691651e-03,-7.130577302416521990e-01
4.800000000000000000e+01,4.000000000000000000e+00,7.920235965519135668e-01,2.764629344838092528e+00,-5.744454217880367031e-01,1.225160852237269643e-01,-1.815295713731950034e-01,-1.853393509166054425e-03,1.028514905496022980e-01,-6.657148060748385721e-02,-7.375346786513605618e-03,-7.983822627062065261e-03,-7.135089996441689175e-01
4.802000000000000313e+01,4.000000000000000000e+00,7.940791502131514523e-01,2.763296319402274825e+00,-5.761940292673822794e-01,1.224789921245719171e-01,-1.816400954685490343e-01,-1.855864948089957491e-03,1.027038218447350187e-01,-6.673101595462097024e-02,-7.391465570160642498e-03,-7.969716736960072781e-03,-7.139531203231053169e-01
4.804000000000000625e+01,4.000000000000000000e+00,7.961317472998334921e-01,2.761960106078820587e+00,-5.779431856475498730e-01,1.224418526900141468e-01,-1.817487724639851032e-01,-1.858026756006647077e-03,1.025558342612811480e-01,-6.689026946526495376e-02,-7.407234181016643035e-03,-7.955639092261516596e-03,-7.143898363534503249e-01
4.806000000000000227e+01,4.000000000000000000e+00,7.981813815046083782e-01,2.760620710498765007e+00,-5.796928712109876702e-01,1.224046731302187441e-01,-1.818555383027614381e-01,-1.859877181471944257e-03,1.024075348305459598e-01,-6.704924171119469589e-02,-7.422649834132900686e-03,-7.941590380053197354e-03,-7.148188894315652409e-01
4.808000000000000540e+01,4.000000000000000000e+00,8.002280466613077570e-01,2.759278138281570758e+00,-5.814430657097194866e-01,1.223674596901961897e-01,-1.819603283448683329e-01,-1.861414491414608696e-03,1.022589306395337572e-01,-6.720793327793092575e-02,-7.437709744560702836e-03,-7.927571287421915705e-03,-7.152400188839814765e-01
4.810000000000000142e+01,4.000000000000000000e+00,8.022717367460603377e-01,2.757932395034850881e+00,-5.831937483610725170e-01,1.223302186494337057e-01,-1.820630773690817827e-01,-1.862636971243671188e-03,1.021100288309477605e-01,-6.736634476473600530e-02,-7.452411127351336873e-03,-7.913582501454467094e-03,-7.156529616770374025e-01
