t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
4.558000000000000540e+01,4.000000000000000000e+00,5.246396881558532677e-01,2.901287380242638214e+00,-3.674835415943025207e-01,-1.689348629756885767e-01,1.261606451838530873e-01,-3.498132527518712457e-03,1.177374518455598651e-01,-4.532549863068847246e-02,-3.669693619067487724e-03,-9.895127407484084758e-03,-2.761463798553485949e-03,7.893748490698320429e-04,-6.630145764209973702e-01
4.560000000000000142e+01,4.000000000000000000e+00,5.269936995719678441e-01,2.900378892298824063e+00,-3.691568423508782004e-01,-1.690063675554052125e-01,1.261628559130834604e-01,-3.652186211690341012e-03,1.176635056578403532e-01,-4.552324294745298261e-02,-3.724925881534691622e-03,-9.879286534595358577e-03,-2.761682390046961422e-03,7.946951518640946437e-04,-6.633006234908587206e-01
4.562000000000000455e+01,4.000000000000000000e+00,5.293462210177445337e-01,2.899466452643912451e+00,-3.708309044851736958e-01,-1.690809446607214050e-01,1.261642751129922746e-01,-3.805375380592956620e-03,1.175884548131812674e-01,-4.572066938962323496e-02,-3.780157711411263367e-03,-9.863340294701821928e-03,-2.761420495971109775e-03,7.999114614769061056e-04,-6.635989693352138952e-01
4.564000000000000057e+01,4.000000000000000000e+00,5.316972304007712147e-01,2.898550067656322948e+00,-3.725057484550715059e-01,-1.691585764189148522e-01,1.261649026275865337e-01,-3.957641792353133216e-03,1.175122994163471796e-01,-4.591777587069265087e-02,-3.835379496689315416e-03,-9.847290772885224433e-03,-2.760677902408121328e-03,8.050232594128294136e-04,-6.639095433937243218e-01
4.566000000000000369e+01,4.000000000000000000e+00,5.340467056326547723e-01,2.897629743755798071e+00,-3.741813945201010183e-01,-1.692392437924188919e-01,1.261647384983715647e-01,-4.108927204618592101e-03,1.174350397643796062e-01,-4.611456034595866338e-02,-3.890581622026520730e-03,-9.831140064398159045e-03,-2.759454489831681887e-03,8.100300470849506251e-04,-6.642322704775061037e-01
4.568000000000000682e+01,4.000000000000000000e+00,5.363946246328651357e-01,2.896705487402548851e+00,-3.758578627312196829e-01,-1.693229265788241678e-01,1.261637829642382747e-01,-4.259173375619716533e-03,1.173566763466443591e-01,-4.631102081272217563e-02,-3.945754470633949448e-03,-9.814890274265861483e-03,-2.757750233106966240e-03,8.149313458148808214e-04,-6.645670707678110745e-01
4.570000000000000284e+01,4.000000000000000000e+00,5.387409653325839765e-01,2.895777305096425724e+00,-3.775351729206052331e-01,-1.694096034109017490e-01,1.261620364613068035e-01,-4.408322065440552391e-03,1.172772098448419537e-01,-4.650715531047899809e-02,-4.000888426163881281e-03,-9.798543516888070376e-03,-2.755565201490651171e-03,8.197266968327545896e-04,-6.649138598147267265e-01
4.572000000000000597e+01,4.000000000000000000e+00,5.410857056785490782e-01,2.894845203376054776e+00,-3.792133446914648931e-01,-1.694992517566557277e-01,1.261594996227251575e-01,-4.556315037519992339e-03,1.171966411329794233e-01,-4.670296192110333366e-02,-4.055973874597645218e-03,-9.782101915640804141e-03,-2.752899558630897674e-03,8.244156612772298061e-04,-6.652725485359280988e-01
4.574000000000000199e+01,4.000000000000000000e+00,5.434288236369017033e-01,2.893909188818009515e+00,-3.808923974078591290e-01,-1.695918479194063744e-01,1.261561732784246270e-01,-4.703094060403218563e-03,1.171149712773053853e-01,-4.689843876902338726e-02,-4.111001206133450998e-03,-9.765567602478248885e-03,-2.749753562567367002e-03,8.289978201954891542e-04,-6.656430432154868404e-01
4.576000000000000512e+01,4.000000000000000000e+00,5.457702971970292971e-01,2.892969268035940900e+00,-3.825723501845440522e-01,-1.696873670379129562e-01,1.261520584548300739e-01,-4.848600909763952325e-03,1.170322015362064844e-01,-4.709358402138887068e-02,-4.165960817074214513e-03,-9.748942717534549163e-03,-2.746127565731214595e-03,8.334727745432393654e-04,-6.660252455027728669e-01
